Count of Customer.ID,Column Labels,,,,
Row Labels,Consumer,Corporate,Home Office,Grand Total,
Africa,2381,1312,894,4587,
APAC,5699,3283,2020,11002,
Canada,202,110,72,384,
EMEA,2538,1574,917,5029,
EU,5186,3077,1737,10000,
LATAM,5321,3053,1920,10294,
US,5191,3020,1783,9994,
Grand Total,26518,15429,9343,51290,
,,,,,
,,,,,
,,,,,
Row Labels,Sum of Profit,Sum of Sales,,,
Furniture,"$285,204.72","$4,110,884.00",,,
Chairs,"$140,396.27","$1,501,682.00",,,
Bookcases,"$161,924.42","$1,466,559.00",,,
Tables,"-$64,083.39","$757,034.00",,,
Furnishings,"$46,967.43","$385,609.00",,,
Office Supplies,"$518,473.83","$3,787,330.00",,,
Storage,"$108,461.49","$1,127,124.00",,,
Appliances,"$141,680.59","$1,011,081.00",,,
Binders,"$72,449.85","$461,952.00",,,
Art,"$57,953.91","$372,163.00",,,
Paper,"$59,207.68","$244,307.00",,,
Supplies,"$22,583.26","$243,090.00",,,
Envelopes,"$29,601.12","$170,926.00",,,
Fasteners,"$11,525.42","$83,254.00",,,
Labels,"$15,010.51","$73,433.00",,,
Technology,"$663,778.73","$4,744,691.00",,,
Phones,"$216,717.01","$1,706,874.00",,,
Copiers,"$258,567.55","$1,509,439.00",,,
Machines,"$58,867.87","$779,071.00",,,
Accessories,"$129,626.31","$749,307.00",,,
Grand Total,"$1,467,457.29","$12,642,905.00",,,
,,,,,
,,,,,
,,,,,
Row Labels,Average of Discount,Sum of Profit,,,
Africa,0.156703728,"$88,871.63",,,
Canada,0,"$17,817.39",,,
Caribbean,0.135751479,"$34,571.32",,,
Central,0.138851309,"$311,403.98",,,
Central Asia,0.067480469,"$132,480.19",,,
East,0.145365169,"$91,522.78",,,
EMEA,0.19608272,"$43,897.97",,,
North,0.096056426,"$194,597.95",,,
North Asia,0.048716852,"$165,578.42",,,
Oceania,0.153168913,"$120,089.11",,,
South,0.149050113,"$140,355.77",,,
Southeast Asia,0.272077341,"$17,852.33",,,
West,0.109334998,"$108,418.45",,,
Grand Total,0.142907545,"$1,467,457.29",,,
,,,,,
,,,,,
,,,,,
Row Labels,Sum of Sales,,,,
2011,"$2,259,511.00",,,,
2012,"$2,677,493.00",,,,
2013,"$3,405,860.00",,,,
2014,"$4,300,041.00",,,,
Grand Total,"$12,642,905.00",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Average of Shipping.Cost,Column Labels,,,,
Row Labels,First Class,Same Day,Second Class,Standard Class,Grand Total
Critical,$60.76,$63.30,$56.66,,$59.72
High,$39.42,$39.66,$31.74,$28.99,$32.87
Low,,,,$27.08,$27.08
Medium,$28.92,$27.06,$21.54,$16.32,$18.44
Grand Total,$41.05,$42.94,$30.47,$19.97,$26.38
,,,,,
,,,,,
,,,,,
,,,,,
Row Labels,Sum of Profit,,,,
AA-103151,$12.88,,,,
Alex Avila,$12.88,,,,
AA-103152,$568.74,,,,
Alex Avila,$568.74,,,,
AA-103153,$228.96,,,,
Alex Avila,$228.96,,,,
AA-103154,-$362.88,,,,
Alex Avila,-$362.88,,,,
AA-103751,$577.94,,,,
Allen Armold,$577.94,,,,
AA-103752,-$60.26,,,,
Allen Armold,-$60.26,,,,
AA-103753,-$117.58,,,,
Allen Armold,-$117.58,,,,
AA-103754,$277.38,,,,
Allen Armold,$277.38,,,,
AA-104801,$601.39,,,,
Andrew Allen,$601.39,,,,
AA-104802,$191.00,,,,
Andrew Allen,$191.00,,,,
AA-104803,$288.26,,,,
Andrew Allen,$288.26,,,,
AA-104804,$435.83,,,,
Andrew Allen,$435.83,,,,
AA-106451,"$1,578.08",,,,
Anna Andreadi,"$1,578.08",,,,
AA-106452,$219.06,,,,
Anna Andreadi,$219.06,,,,
AA-106453,$396.50,,,,
Anna Andreadi,$396.50,,,,
AA-106454,$857.80,,,,
Anna Andreadi,$857.80,,,,
AA-3151,$4.29,,,,
Alex Avila,$4.29,,,,
AA-3152,$531.28,,,,
Alex Avila,$531.28,,,,
AA-3751,$49.48,,,,
Allen Armold,$49.48,,,,
AA-3752,$11.28,,,,
Allen Armold,$11.28,,,,
AA-3753,$16.68,,,,
Allen Armold,$16.68,,,,
AA-4801,$25.68,,,,
Andrew Allen,$25.68,,,,
AA-4802,$488.10,,,,
Andrew Allen,$488.10,,,,
AA-4803,$40.83,,,,
Andrew Allen,$40.83,,,,
AA-6451,-$820.42,,,,
Anna Andreadi,-$820.42,,,,
AA-6452,$212.07,,,,
Anna Andreadi,$212.07,,,,
AB-100151,"$1,772.71",,,,
Aaron Bergman,"$1,772.71",,,,
AB-100152,"$1,122.89",,,,
Aaron Bergman,"$1,122.89",,,,
AB-100153,$694.54,,,,
Aaron Bergman,$694.54,,,,
AB-100154,$129.35,,,,
Aaron Bergman,$129.35,,,,
AB-100601,$320.28,,,,
Adam Bellavance,$320.28,,,,
AB-100602,"$1,020.07",,,,
Adam Bellavance,"$1,020.07",,,,
AB-100603,"$1,119.13",,,,
Adam Bellavance,"$1,119.13",,,,
AB-100604,"$2,054.59",,,,
Adam Bellavance,"$2,054.59",,,,
AB-101051,"$1,451.61",,,,
Adrian Barton,"$1,451.61",,,,
AB-101052,$276.92,,,,
Adrian Barton,$276.92,,,,
AB-101053,-$260.72,,,,
Adrian Barton,-$260.72,,,,
AB-101054,"$5,444.81",,,,
Adrian Barton,"$5,444.81",,,,
AB-101501,$92.79,,,,
Aimee Bixby,$92.79,,,,
AB-101502,"$1,009.51",,,,
